Route,Page Title,Template,Content Key,Theme,Data Source,Section,Notes,Route,Page Title,Desc,CHANGE REQUIRED
/,Home,home.main,home:main,default,content/home.ts,Home & Core,Main landing page,,,,
/about,About GTM Stack,home.main,about:main,dark,content/about.ts,Home & Core,About page,,,,
/contact,Contact Us,home.main,contact:main,light,content/contact.ts,Home & Core,Contact form,,,,
/resume,Resume,home.main,resume:main,light,content/resume.ts,Home & Core,Resume/CV page,,,,
/expertise,Expertise,expertise.main,expertise:main,dark,content/expertise/main.ts,Expertise Main,Main expertise landing,,,,
/expertise/content-engagement,Content & Engagement,Uploaded_Expertise_ContentEngagement_v1,default:content,dark,content/expertise.ts,Expertise Pillars,Custom template pillar,,,,
/expertise/demand-growth,Demand & Growth,Uploaded_Expertise_DemandGrowth_v1,pillar:demand-growth,dark,content/expertise.ts,Expertise Pillars,Custom template pillar,,,,
/expertise/strategy-insights,Strategy & Insights,expertise.category,pillar:strategy-insights,dark,content/expertise.ts,Expertise Pillars,Category/Pillar,,,,
/expertise/systems-operations,Systems & Operations,expertise.category,pillar:systems-operations,dark,content/expertise.ts,Expertise Pillars,Category/Pillar,,,,
/expertise/analytics,Analytics & Insights,expertise.topic,expertise:marketing-analytics-reporting,dark,content/expertise.ts,Expertise Topics,Topic detail,,,,
/expertise/automation,Marketing Automation,expertise.topic,expertise:marketing-automation,dark,content/expertise.ts,Expertise Topics,Topic detail,,,,
/expertise/optimization,Revenue Optimization,expertise.topic,expertise:revenue-operations,dark,content/expertise.ts,Expertise Topics,Topic detail,,,,
/expertise/strategy,GTM Strategy,expertise.topic,expertise:gtm-strategy-development,dark,content/expertise.ts,Expertise Topics,Topic detail,,,,
/expertise/demand-generation,Demand Generation,expertise.category,expertise:demand-generation,dark,content/expertise.ts,Expertise Topics,Category/Topic (main pillar sub),,,,
/industries,Architecting Growth by Industry,Uploaded_Industries_v1,industries:main,dark,content/industries/main.ts,Industries Main,Custom template main landing,,,,
