Route,Section-Pillar,Page Title,Template,Content Key,Theme,Data Source,
/expertise/account-based-marketing,Demand & Growth,Account-Based Marketing (ABM),Uploaded_DemandGrowth_v1,default:content,dark,content/account-based-marketing.ts,
/expertise/competitive-intel,Strategy & Insights,Competitive Intelligence & Positioning,Uploaded_StratInsights_v1,default:content,dark,content/competitive-intel.ts,
/expertise/content-engagement,Content & Engagement,Content & Engagement,Uploaded_ContentEngagement_v1,default:content,dark,content/content-engagement.ts,
/expertise/content-marketing,Content & Engagement,Content Creation & Personalization,Uploaded_ContentEngagement_v1,default:content,dark,content/content-marketing.ts,
/expertise/crm-management,Systems & Operations,CRM Management & Integration,Uploaded_SystemOperations_v1,default:content,dark,content/crm-management.ts,
/expertise/customer-marketing,Strategy & Insights,Customer Marketing & Journey Mapping,Uploaded_StratInsights_v1,default:content,dark,content/customer-marketing.ts,
/expertise/demand-growth,Demand & Growth,Demand & Growth,Uploaded_DemandGrowth_v1,pillar:demand-growth,dark,content/demand-growth.ts,
/expertise/demand-generation,Demand & Growth,Demand Generation Campaigns,Uploaded_DemandGrowth_v1,expertise:demand-generation,dark,content/demand-generation.ts,
/expertise/event-marketing,Content & Engagement,Event & Tradeshow Management,Uploaded_ContentEngagement_v1,default:content,dark,content/event-marketing.ts,
/expertise,Main-Top-Level,Expertise,expertise.main,expertise:main,dark,content/expertise.ts,
/expertise/strategy,Strategy & Insights,GTM Strategy,Uploaded_StratInsights_v1,expertise:gtm-strategy-development,dark,content/strategy.ts,
/expertise/lead-gen-scoring,Demand & Growth,Lead Generation & Scoring,Uploaded_DemandGrowth_v1,default:content,dark,content/lead-gen-scoring.ts,
/expertise/marketing-analytics-reporting,Systems & Operations,Marketing Analytics & Reporting,Uploaded_SystemOperations_v1,expertise:marketing-analytics-reporting,dark,content/marketing-analytics-reporting.ts,
/expertise/marketing-automation,Systems & Operations,Marketing Automation & Workflows,Uploaded_SystemOperations_v1,expertise:marketing-automation,dark,content/marketing-automation.ts,
/expertise/paid-advertising-sem,Demand & Growth,Paid Media & Funnel Optimization,Uploaded_DemandGrowth_v1,default:content,dark,content/paid-advertising-sem.ts,
/expertise/product-marketing,Strategy & Insights,Product Marketing,Uploaded_StratInsights_v1,default:content,dark,content/product-marketing.ts,
/expertise/analytics,Systems & Operations,Reporting Dashboards & Attribution,Uploaded_SystemOperations_v1,default:content,dark,content/analytics.ts,
/expertise/web-design-ui-ux,Content & Engagement,Responsive Web Design & UI/UX,Uploaded_ContentEngagement_v1,default:content,dark,content/web-design-ui-ux.ts,
/expertise/roi-analysis,Strategy & Insights,ROI & Break-Even Analysis,Uploaded_StratInsights_v1,default:content,dark,content/roi-analysis.ts,
/expertise/search-engine-optimization,Content & Engagement,Search Engine Optimization & Management (SEO & SEM),Uploaded_ContentEngagement_v1,default:content,dark,content/search-engine-optimization.ts,
/expertise/social-media-marketing,Content & Engagement,Social Media & Reputation Management,Uploaded_ContentEngagement_v1,default:content,dark,content/social-media-marketing.ts,
/expertise/strategy-insights,Strategy & Insights,Strategy & Insights,Uploaded_StratInsights_v1,pillar:strategy-insights,dark,content/strategy-insights.ts,
/expertise/systems-operations,Systems & Operations,Systems & Operations,Uploaded_SystemOperations_v1,pillar:systems-operations,dark,content/systems-operations.ts,
/expertise/martech-optimization,Systems & Operations,Tech Stack Optimization & Enablement,Uploaded_SystemOperations_v1,default:content,dark,content/martech-optimization.ts,
/expertise/sales-enablement,Demand & Growth,Upsell/Cross-Sell Strategies,Uploaded_DemandGrowth_v1,default:content,dark,content/sales-enablement.ts,
